link,price_num,bedroom,bedroom_num,bathroom_num,area,latitude,longitude,posing time,update time,available time
http://boston.craigslist.org/gbs/fee/6096291028.html,3437,3BR / 1.5Ba,3,1.5,1100ft2,42.377,-71.1256,2017-04-20 10:37am,2017-04-28  9:43pm,available apr 19
http://boston.craigslist.org/gbs/fee/6073610217.html,3900,3BR / 2Ba,3,2,available aug 1,42.377,-71.1256,2017-04-04 10:10am,2017-05-01  3:40pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6102410810.html,3000,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-24  1:53pm,2017-04-30 10:05am,available sep 1
http://boston.craigslist.org/gbs/fee/6060464793.html,3100,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-03-26  1:16am,2017-04-24  1:13pm,available sep 1
http://boston.craigslist.org/gbs/fee/6072550221.html,3000,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-03  2:33pm,2017-05-01  1:01pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6101996653.html,3100,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-24 10:04am,2017-04-26 12:55pm,available sep 1
http://boston.craigslist.org/gbs/fee/6101701013.html,3000,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-24  1:22am,2017-04-29 12:03pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6101700245.html,3000,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-24  1:20am,2017-04-29 12:03pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6090592641.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-16 10:41am,2017-04-26  1:47am,available sep 1
http://boston.craigslist.org/gbs/fee/6101628967.html,3200,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-23 11:24pm,2017-05-01 11:02am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6086941768.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-13  2:04pm,2017-05-01 11:11am,available sep 1
http://boston.craigslist.org/gbs/fee/6097335167.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-20 10:56pm,2017-05-01 10:47am,available sep 1
http://boston.craigslist.org/gbs/fee/6071743563.html,3100,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-02 11:46pm,2017-05-01  5:53am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6071744011.html,3100,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-02 11:47pm,2017-05-01  5:53am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6071734226.html,3100,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-02 11:33pm,2017-04-29 11:51am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6071743213.html,3100,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-02 11:46pm,2017-04-29 11:51am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6101202815.html,3000,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-23  5:07pm,2017-04-30 10:11am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6104193081.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  4:03pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6104122519.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  3:20pm,2017-05-01 10:42am,available sep 1
http://boston.craigslist.org/gbs/fee/6077407291.html,3000,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-06  7:18pm,2017-05-01  9:42pm,available sep 1
http://boston.craigslist.org/gbs/fee/6103988782.html,3100,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  2:02pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6103985015.html,3000,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  2:00pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6097106364.html,3150,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-20  7:13pm,2017-04-30 10:10am,cats are OK - purrr
http://boston.craigslist.org/gbs/nfb/6102674848.html,3100,3BR / 1Ba,3,1,1050ft2,42.377137,-71.104984,2017-04-24  4:26pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/nfb/6102646649.html,3200,3BR / 1Ba,3,1,1050ft2,42.377137,-71.104984,2017-04-24  4:08pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6103308800.html,3100,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  2:54am,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6103307449.html,3000,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  2:50am,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6065257933.html,3000,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-03-29 12:57pm,2017-04-27  2:35pm,apartment
http://boston.craigslist.org/gbs/fee/6094040948.html,2850,3BR / 1Ba,3,1,available jun 1,42.377137,-71.104984,2017-04-18  6:18pm,2017-04-28  7:43pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6076129400.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-05  9:58pm,2017-04-24  7:46pm,available sep 1
http://boston.craigslist.org/gbs/fee/6070767299.html,3000,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-02 10:50am,2017-05-01  6:44pm,available sep 1
http://boston.craigslist.org/gbs/fee/6104625476.html,3000,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  9:27pm,2017-04-30 10:34pm,available sep 1
